,text,label
0,onions,plant/vegetable
1,broccoli,plant/vegetable
2,kale,plant/vegetable
3,beet,plant/vegetable
4,corn,plant/vegetable
5,beans,plant/vegetable
6,zucchini,plant/vegetable
7,celery,plant/vegetable
8,lettuce,plant/vegetable
9,radish,plant/vegetable
10,cucumber,plant/vegetable
11,peas,plant/vegetable
12,tomato,plant/vegetable
13,spinach,plant/vegetable
14,carrots,plant/vegetable
15,chard,plant/vegetable
16,artichoke,plant/vegetable
17,asparagus,plant/vegetable
18,cauliflower,plant/vegetable
19,cabbage,plant/vegetable
20,endive,plant/vegetable
21,squash,plant/vegetable
22,sprout,plant/vegetable
23,aubergine,plant/vegetable
24,garlic,plant/vegetable
25,dill,plant/vegetable
26,parsley,plant/vegetable
27,basil,plant/vegetable
28,thyme,plant/vegetable
29,leek,plant/vegetable
30,hockey,sport
31,golf,sport
32,football,sport
33,luge,sport
34,bowling,sport
35,archery,sport
36,lacrosse,sport
37,badminton,sport
38,billiards,sport
39,volleyball,sport
40,rugby,sport
41,cycling,sport
42,baseball,sport
43,tennis,sport
44,judo,sport
45,gymnastics,sport
46,marathon,sport
47,climbing,sport
48,triathlon,sport
49,swimming,sport
50,soccer,sport
51,diving,sport
52,shooting,sport
53,boxing,sport
54,rowing,sport
55,karate,sport
56,skiing,sport
57,snowboarding,sport
58,taekwondo,sport
59,weightlifting,sport
60,horse,animal
61,sheep,animal
62,goldfish,animal
63,duck,animal
64,leopard,animal
65,lion,animal
66,porcupine,animal
67,wolf,animal
68,camel,animal
69,zebra,animal
70,llama,animal
71,cat,animal
72,elephant,animal
73,monkey,animal
74,panda,animal
75,tiger,animal
76,giraffe,animal
77,panda,animal
78,deer,animal
79,turtle,animal
80,cheetah,animal
81,sloth,animal
82,rhinoceros,animal
83,crocodile,animal
84,butterfly,animal
85,squirrel,animal
86,llama,animal
87,spider,animal
88,ant,animal
89,lizard,animal
