layer,p
0,0.03134274445426267
1,0.02287509482787133
2,-0.005650606171058993
3,0.017185622883080322
4,-0.006897655721401697
5,-0.014613591895892062
6,-0.01656210681830217
7,0.011768847213103584
8,0.00038969427408932144
9,-0.011574039272827753
10,0.0047543067275363894
11,0.00713142524973224
12,-0.023888340008311148
13,-0.01944582179953924
14,-0.01356147223132771
15,-0.01535403627680103
16,-0.006975526635153741
17,0.02131632644190838
18,0.006079244612417536
19,0.03974899016493843
20,0.20404502464875718
21,0.2969097041112583
22,0.44702089837565306
23,0.6529363057212768
24,0.7458009155006337
25,0.708468057708305
26,0.831456290089257
27,0.6850472654670497
28,0.7127742669764389
29,0.7058766809381809
30,0.7402088780123562
31,0.7514515303820861
32,0.7823544108759636
33,0.761291321690824
34,0.784829042248211
35,0.7998907751554715
36,0.8213436108770581
37,0.8486028729907454
38,0.8380810927487696
39,0.8624760901888728
40,0.8798371490981146
41,0.888780510307435
42,0.8947040218027404
43,0.9099021768857485
44,0.9166047981966557
45,0.9393243689568491
46,0.9855812595963491
47,0.9885428629121232
48,1.0
