layer,p
0,-0.14638180027999997
1,-0.14675615664300007
2,-0.12835035783
3,-0.101228353841
4,-0.07103513142500002
5,-0.07177337828979999
6,-0.08578622619770003
7,-0.071428152777505
8,-0.05164654956399999
9,-0.0587824801
10,-0.04873660337699999
11,-0.031951903441000004
12,-0.030316536310099992
13,0.08137544924710002
14,0.0024628485183900008
15,-0.025316782367409998
16,1.1603467606734001
17,1.258133551373
18,1.0424236391270996
19,1.7377401391460001
20,2.2266197782299995
21,3.0973181835649006
22,1.5020229521800004
23,2.80388870963
24,2.954119870720001
25,2.8307652538320007
26,2.9086959840599995
27,2.5097387822929997
28,2.50766529649
29,3.7573381056399997
30,1.3287536888399998
31,1.4582850942741996
32,1.7300185939305
33,1.2984274253810004
34,1.2267205407069999
35,1.8325144232650001
36,0.45036605460920004
37,0.49905174061
38,1.7025899828490005
39,1.2562436056800002
40,1.74383013116
41,0.45328526808999986
42,0.6223571426300001
43,0.38123277517
44,0.42100040713799997
45,0.18374819687000002
46,0.442801445036
47,0.21251779123599998
