layer,p
0,0.0
1,0.010177322779416352
2,-0.0055543355981342675
3,-0.008314561600192298
4,-0.010956229088462829
5,0.04390968211435555
6,0.04936243506098686
7,0.05674561417905154
8,0.07406904446932534
9,0.0956259482258683
10,0.09362781164185802
11,0.15663893082029914
12,0.2162972547445508
13,0.4658019115736908
14,0.6278258470777381
15,0.6454371857213382
16,0.579064512727877
17,0.8468833278243474
18,0.8554772965991165
19,0.9520939084565212
20,0.9308756854539029
21,0.8499992255827369
22,0.9010465443094455
23,0.9410360361560657
24,0.9737016148939074
25,0.9773762967212062
26,0.9792728392986222
27,0.964472601253505
28,1.0
