layer,p
0,0.007549392716000003
1,-0.00011760138449999928
2,-0.0023914115483000004
3,0.05424224566530001
4,1.180961755174
5,0.04890871012800001
6,0.2374812873
7,0.34526237540400007
8,0.39505229161200006
9,0.4779134695090001
10,0.30362908778203296
11,0.7334726823030001
12,1.91706084782
13,2.6321060710300004
14,2.51012996125
15,0.85427392812
16,3.2802791444809998
17,1.8253081223800003
18,2.45182104262
19,1.4699512247710003
20,1.3575163902920002
21,1.3369853265699998
22,0.69817990595
23,1.005115278988
24,1.38010323263
25,1.1322006078709999
26,0.56922891075
27,0.006662256880000003
