layer,p
0,0.0
1,-0.007921096471944215
2,0.006478129697554177
3,-0.012677882945226659
4,0.017269661367951977
5,-0.009601218344619359
6,0.018549582398531918
7,-0.01439931653888805
8,-0.018208192664233947
9,0.13922763244967007
10,0.7178955610517068
11,0.6759560310058406
12,0.8328018376021528
13,0.9039018881741541
14,0.8522889733710711
15,0.8233945810150408
16,0.7349733294756791
17,0.6652016282446788
18,0.7429006291607274
19,0.7804845999134751
20,0.7499265070938614
21,0.7483484832666292
22,0.7796440225806252
23,0.8228562957455493
24,0.8372400171097651
25,0.8944698929666236
26,0.9049065504987955
27,0.9180104412018207
28,0.986356668590286
29,0.9853653292956627
30,0.9909029395703634
31,0.9952110936636506
32,0.9762181332196358
33,0.9763047329147533
34,0.9817844551404213
35,0.989105369765916
36,0.9551632015019078
37,0.9622623561001405
38,0.9606595065105783
39,0.9483064821562988
40,0.9616413699292005
41,0.9805210975279745
42,1.0086202941221536
43,0.9901305072122708
44,1.0
