pic,p
0,0.0
1,0.023038089275360107
2,0.04909524640866688
3,0.05654285954577582
4,0.06698571464845113
5,0.06909523691449847
6,0.09274762123823166
7,0.10032856890133449
8,0.11148095663104739
9,0.1289428642817906
10,0.1274476179054805
11,0.1301285805446761
12,0.14955238785062516
13,0.14805715956858226
14,0.15059049214635575
15,0.17561429100377218
16,0.18269525361912592
17,0.17582381410258158
18,0.18540955547775542
19,0.17901904242379324
20,0.19912381683077132
21,0.20334285816976003
22,0.2083571595805032
23,0.21850953783307756
24,0.2161190499152456
25,0.22686669017587388
26,0.2367238136274474
27,0.2287809465612684
28,0.24749526594366347
29,0.2462333504642759
30,0.24852857951607024
31,0.2558238229581288
32,0.25923810047762735
33,0.26936190256050657
34,0.2688238280160086
35,0.26935237858976635
36,0.27540476833071026
37,0.2721238157578877
38,0.2831000302519117
39,0.2812047685895647
