pic,p
0,0.0
1,0.03033331
2,0.10699996
3,0.11233333
4,0.08066666
5,0.072333336
6,0.16633335
7,0.15166664
8,0.162
9,0.17466664
10,0.1933333
11,0.20266664
12,0.22099996
13,0.24466667
14,0.22700006
15,0.2626667
16,0.30500007
17,0.23833331
18,0.25133333
19,0.3033333
20,0.32700002
21,0.3080001
22,0.33533332
23,0.326
24,0.3056667
25,0.319
26,0.34266666
27,0.3403333
28,0.34166667
29,0.38466668
30,0.35866672
31,0.3766667
32,0.3913334
33,0.41266665
34,0.39866674
35,0.3603333
36,0.37866664
37,0.36233336
38,0.39866674
39,0.402
