pic,p
0,0.0
1,-0.018000007
2,0.0020000339
3,0.048000038
4,0.018000007
5,-0.004000008
6,0.04400003
7,0.022000015
8,0.00999999
9,0.04000002
10,0.041999996
11,0.013999999
12,0.023999989
13,0.03400004
14,-0.0059999824
15,-0.0020000339
16,0.011999965
17,-0.05400002
18,0.011999965
19,0.04399997
20,0.01999998
21,0.0059999824
22,0.048000038
23,0.04000002
24,0.089999974
25,0.025999963
26,0.026000023
27,0.021999955
28,-0.0019999743
29,0.027999997
30,0.01000005
31,0.060000002
32,0.052000046
33,0.07000002
34,0.037999988
35,0.05399996
36,0.10800004
37,0.076000005
38,0.07999998
39,0.08200005
