pic,p
0,0.0
1,-0.008999974
2,0.029000014
3,0.075666666
4,0.056333333
5,0.05366668
6,0.046000004
7,0.12433332
8,0.106000006
9,0.110000014
10,0.13299999
11,0.13200006
12,0.15400001
13,0.15033337
14,0.13700005
15,0.19766667
16,0.18333337
17,0.18400002
18,0.21300009
19,0.18733335
20,0.19466668
21,0.238
22,0.24499997
23,0.22333336
24,0.234
25,0.25266668
26,0.305
27,0.2376667
28,0.24100006
29,0.28400004
30,0.28966665
31,0.28133336
32,0.25399995
33,0.26366663
34,0.27400005
35,0.32099998
36,0.3203333
37,0.29333335
38,0.30933338
39,0.285
