pic,p
0,0.0
1,0.01000005
2,0.006000042
3,0.0
4,-0.032000005
5,0.0059999824
6,0.03400004
7,-0.018000007
8,0.032000005
9,0.046000004
10,-0.01999998
11,-0.023999989
12,0.015999973
13,0.032000005
14,-0.035999954
15,0.022000015
16,0.032000005
17,0.051999986
18,0.056000054
19,0.022000015
20,0.066000044
21,0.022000015
22,0.006000042
23,-0.0059999824
24,-0.012000024
25,0.041999996
26,0.037999988
27,0.023999989
28,0.05399996
29,0.01000005
30,0.055999994
31,0.04400003
32,0.04400003
33,0.023999989
34,0.022000015
35,0.06799996
36,0.047999978
37,0.058000028
38,0.038000047
39,0.061999977
