pic,p
0,0.0
1,0.04100001
2,0.021666676
3,0.035999984
4,0.06999999
5,0.07100001
6,0.12666667
7,0.103333324
8,0.12733334
9,0.14166668
10,0.17033333
11,0.18333334
12,0.19633335
13,0.17900002
14,0.213
15,0.2413333
16,0.22466674
17,0.29466662
18,0.27300006
19,0.22366664
20,0.3083333
21,0.28299993
22,0.32100004
23,0.31366667
24,0.319
25,0.3346667
26,0.354
27,0.34200004
28,0.33700004
29,0.33733332
30,0.31033328
31,0.3353334
32,0.373
33,0.36
34,0.38600004
35,0.32233334
36,0.4100001
37,0.38166666
38,0.41033334
39,0.36633337
