pic,p
0,0.0
1,0.036533177
2,0.05000007
3,0.07959998
4,0.10413331
5,0.14600003
6,0.17413324
7,0.19960004
8,0.20773327
9,0.24653333
10,0.25426668
11,0.28613335
12,0.2897334
13,0.31813338
14,0.32893336
15,0.33693334
16,0.3570667
17,0.36720008
18,0.37640002
19,0.38693327
20,0.39840007
21,0.41879994
22,0.4226668
23,0.4308
24,0.43466672
25,0.4481335
26,0.45213336
27,0.4629332
28,0.47293344
29,0.47360006
30,0.4837333
31,0.47853333
32,0.48866656
33,0.5064
34,0.51586676
35,0.51493335
36,0.52599996
37,0.51839995
38,0.52840006
39,0.53119993
