pic,p
0,0.7850000394715203
1,0.8470000293519762
2,0.8905556069480048
3,0.9152222606870863
4,0.8888889484935336
5,0.8890000316831801
6,0.9468889435132345
7,0.9861112038294474
8,0.9921111596955193
9,1.0203333695729573
10,1.0633333855205112
11,1.0928889248106215
12,1.099444501929813
13,1.1113334231906467
14,1.1731112003326416
15,1.2017778091960483
16,1.2475556002722845
17,1.321444524659051
18,1.3224445515208774
19,1.339555601278941
20,1.3738889826668634
21,1.4008889463212755
22,1.453888965977563
23,1.4478889836205378
24,1.4984444777170818
25,1.5086667405234442
26,1.5231111778153315
27,1.5628889799118042
28,1.6164445214801364
29,1.6007778644561768
30,1.6364444891611736
31,1.6687778499391344
32,1.6465556224187214
33,1.675333473417494
34,1.7176667319403753
35,1.7417778571446736
36,1.7583333916134305
37,1.760111199484931
38,1.7532222933239408
39,1.7968889607323542
