pic,p
0,0.0002142829554421561
1,0.012010709515639715
2,0.035954762782369344
3,0.04971072184188025
4,0.052400845502104075
5,0.0630369069320815
6,0.06267142295837402
7,0.07558094710111618
8,0.08467295233692441
9,0.08533775487116405
10,0.1024964302778244
11,0.10112620783703667
12,0.08718095826251167
13,0.09796546080282756
14,0.11040476603167397
15,0.11574048336063113
16,0.11935358707393919
17,0.12427023904664176
18,0.1087714433670044
19,0.12212382576295308
20,0.12767382178987777
21,0.13564762047358922
22,0.14358333285365785
23,0.1310142864074026
24,0.14524284643786295
25,0.14284524853740418
26,0.14924285347972596
27,0.13816193491220474
28,0.15234728902578354
29,0.14416258249964034
30,0.14788505222116197
31,0.1572881160037858
32,0.15289406584841864
33,0.17063691467046738
34,0.16323810070753098
35,0.1653095292193549
36,0.17152143269777298
37,0.16744491990123475
38,0.15483334234782628
39,0.16489168788705552
