pic,p
0,0.0
1,0.004000008
2,0.033500016
3,0.032999992
4,0.038999975
5,0.03850001
6,0.07350001
7,0.095999986
8,0.0485
9,0.077500015
10,0.09850001
11,0.127
12,0.10399997
13,0.08649999
14,0.1665
15,0.13749999
16,0.14400002
17,0.121500045
18,0.094499975
19,0.09400004
20,0.13350004
21,0.17600003
22,0.15050003
23,0.1365
24,0.16049999
25,0.14750001
26,0.14549997
27,0.106000006
28,0.14900002
29,0.19750002
30,0.14200002
31,0.16549999
32,0.20400003
33,0.20149997
34,0.18600002
35,0.20699999
36,0.19049999
37,0.21949998
38,0.14700001
39,0.19150001
