pic,p
0,-0.002333343
1,0.035666645
2,0.060000032
3,0.12433335
4,0.103333354
5,0.13199997
6,0.08033329
7,0.14433336
8,0.17699999
9,0.17400002
10,0.23733336
11,0.19833338
12,0.16899997
13,0.20633334
14,0.23366678
15,0.26099998
16,0.23633337
17,0.24966663
18,0.22333336
19,0.2873333
20,0.28133342
21,0.28566664
22,0.28633335
23,0.28066665
24,0.3046667
25,0.3086667
26,0.32666665
27,0.29633343
28,0.3146667
29,0.3106667
30,0.32466674
31,0.34766665
32,0.34166673
33,0.35266668
34,0.34800002
35,0.38799998
36,0.35400003
37,0.34833342
38,0.36
39,0.37966666
