pic,p
0,0.0013333559
1,0.04000002
2,-0.025333345
3,0.028666705
4,0.018999994
5,0.079666644
6,-0.01000002
7,0.039666653
8,0.046666652
9,0.03066665
10,0.07833332
11,0.08699998
12,0.07700005
13,0.07799992
14,0.086333334
15,0.10533336
16,0.13333336
17,0.14166668
18,0.10033339
19,0.10500002
20,0.13233334
21,0.12466669
22,0.17500004
23,0.15733325
24,0.17899999
25,0.13933334
26,0.16466671
27,0.13333336
28,0.14166668
29,0.16099998
30,0.16200003
31,0.1553334
32,0.12999997
33,0.17166668
34,0.18233332
35,0.17600003
36,0.17266664
37,0.14100003
38,0.12600008
39,0.15566671
