pic,p
0,0.0
1,0.019500017
2,0.00999999
3,0.003000021
4,0.016499996
5,-0.004999995
6,0.023999989
7,-0.019500017
8,0.00849998
9,0.010500014
10,0.011500001
11,0.026000023
12,-0.005499959
13,-0.021000028
14,0.0025000572
15,0.004499972
16,-0.004999995
17,0.045000017
18,-0.022499979
19,-0.029000044
20,-0.016499996
21,0.027500033
22,-0.004000008
23,0.0
24,0.029999971
25,-0.0065000057
26,0.026000023
27,-0.012499988
28,0.046000004
29,0.004999995
30,0.010500014
31,0.022500038
32,-0.013499975
33,0.040499985
34,0.00999999
35,-0.014499962
36,0.024500012
37,0.0009999871
38,-0.0020000339
39,0.01000005
