pic,p
0,0.00999999
1,-0.028000057
2,-0.009000003
3,0.013000011
4,0.028666615
5,0.0146666765
6,0.08333331
7,0.0686667
8,0.09033331
9,0.14966667
10,0.14100003
11,0.15399998
12,0.16866669
13,0.14899996
14,0.1913333
15,0.2076667
16,0.21566668
17,0.2506667
18,0.195
19,0.24666676
20,0.2783334
21,0.26133332
22,0.27099997
23,0.25300002
24,0.2853334
25,0.25633335
26,0.2846667
27,0.27566668
28,0.28866675
29,0.26333332
30,0.2783333
31,0.28966668
32,0.2976667
33,0.3236667
34,0.2750001
35,0.322
36,0.34899995
37,0.31
38,0.28633332
39,0.31500003
