pic,p
0,0.005666733
1,0.024333298
2,0.18466663
3,0.1006667
4,0.062333405
5,0.065999985
6,0.06799996
7,0.08066672
8,0.08866662
9,0.125
10,0.1736666
11,0.20966673
12,0.254
13,0.2763334
14,0.36233342
15,0.393
16,0.45733333
17,0.5096667
18,0.52166677
19,0.57266665
20,0.625
21,0.64
22,0.6783334
23,0.7083334
24,0.73233336
25,0.71066666
26,0.77833337
27,0.75900006
28,0.80566674
29,0.84300005
30,0.8316667
31,0.84300005
32,0.83433336
33,0.61800003
34,0.8423334
35,0.8603333
36,0.8756667
37,0.63933325
38,0.86633337
39,0.90433335
