pic,p
0,0.0
1,0.062250018
2,0.11199999
3,0.15725002
4,0.14675003
5,0.13025004
6,0.116999984
7,0.11800003
8,0.12825
9,0.1325
10,0.09474999
11,0.09900004
12,0.089000046
13,0.087249994
14,0.10650003
15,0.092999995
16,0.088750005
17,0.07525003
18,0.08399999
19,0.116
20,0.10400003
21,0.09649998
22,0.097
23,0.09399998
24,0.111
25,0.10650003
26,0.10649997
27,0.10750002
28,0.09249997
29,0.10350001
30,0.12400001
31,0.100000024
32,0.115749955
33,0.12575
34,0.11500001
35,0.12700003
36,0.125
37,0.14850003
38,0.110000014
39,0.115749955
