pic,p
0,0.0
1,-0.0024999976
2,0.00999999
3,0.009499997
4,-0.013999999
5,0.027999997
6,0.021999985
7,0.024999976
8,0.058
9,-0.0035000145
10,0.004499972
11,0.0185
12,-0.002000004
13,0.030999988
14,0.026500016
15,0.011999965
16,0.035000026
17,0.006000012
18,-0.002000004
19,-0.022000015
20,0.023999989
21,0.0015000105
22,0.055999994
23,0.043500006
24,0.0029999912
25,-0.00850001
26,0.062000006
27,-0.031999975
28,0.02850002
29,-0.035999984
30,-0.014999986
31,0.013999999
32,-0.03850001
33,0.03400004
34,0.048000008
35,-0.0045000315
36,0.032000005
37,-0.019499987
38,-0.019499987
39,0.0024999976
