pic,p
0,0.0
1,0.032066703
2,0.015033305
3,0.04586661
4,0.04759991
5,0.06910002
6,0.066900074
7,0.0758
8,0.08293337
9,0.088133335
10,0.087533295
11,0.101766765
12,0.10036659
13,0.103933334
14,0.11049992
15,0.10919994
16,0.11136675
17,0.12019986
18,0.120300055
19,0.12323344
20,0.12993336
21,0.11973339
22,0.12833327
23,0.13020003
24,0.13039982
25,0.14199996
26,0.14156663
27,0.14526677
28,0.14376652
29,0.15146661
30,0.15670007
31,0.15520012
32,0.15776676
33,0.16049999
34,0.1645
35,0.16133332
36,0.15730006
37,0.16163343
38,0.16783327
39,0.1655668
