pic,p
0,-0.004999995
1,-0.0059999973
2,0.0069999993
3,0.003000006
4,0.0059999973
5,0.02533333
6,0.026833326
7,0.03316666
8,0.044000015
9,0.04416667
10,0.050833344
11,0.07833333
12,0.054000005
13,0.075
14,0.088166684
15,0.0971667
16,0.089
17,0.09900001
18,0.1281667
19,0.113166675
20,0.11650002
21,0.15716666
22,0.13700001
23,0.12200002
24,0.16049999
25,0.1731667
26,0.17816667
27,0.18050002
28,0.19000001
29,0.19233334
30,0.215
31,0.21183334
32,0.185
33,0.18700002
34,0.20400001
35,0.232
36,0.23
37,0.242
38,0.26483333
39,0.23900002
