layer,p
0,0.2035
1,0.35300002
2,0.43500003
3,0.44900003
4,0.44200003
5,0.395
6,0.41000003
7,0.39800003
8,0.386
9,0.333
10,0.367
11,0.34
12,0.38300002
13,0.36100003
14,0.386
15,0.36200002
16,0.358
17,0.35500002
18,0.37500003
19,0.374
20,0.43500003
21,0.42100003
22,0.41200003
23,0.42900002
24,0.437
25,0.43400002
26,0.503
27,0.54700005
28,0.544
29,0.546
30,0.56200004
31,0.573
32,0.57900006
33,0.592
34,0.591
35,0.595
36,0.56200004
37,0.564
38,0.56200004
39,0.56600004
40,0.569
41,0.57000005
42,0.564
43,0.57100004
44,0.57900006
45,0.58900005
46,0.59300005
47,0.583
48,0.55300003
