layer,p
0,0.35302756300994326
1,0.3870857262185642
2,0.40607144257852007
3,0.4102238342165947
4,0.4162809763635908
5,0.4058952565704073
6,0.40930002076285227
7,0.4007762095757893
8,0.40057144101176945
9,0.3994285815528461
10,0.4059333460671561
11,0.39954763118709835
12,0.40340954810380936
13,0.4101666882634163
14,0.4200047786746706
15,0.41759525133030756
16,0.417066681597914
17,0.41343811580113005
18,0.4120381229690143
19,0.41116431036165785
20,0.43317144576992306
21,0.4272381290793419
22,0.42408097428934916
23,0.4276809798819678
24,0.4290428842817034
25,0.455271452665329
26,0.46155240280287607
27,0.47719763645104
28,0.48593573910849436
29,0.48565241055829184
30,0.48779287934303284
31,0.4875262092266764
32,0.486178600362369
33,0.4896143100091389
34,0.4881381264754704
35,0.48822860419750214
36,0.4878190734556743
37,0.4830666886908667
38,0.48655954003334045
39,0.4869904965162277
40,0.4880857276065009
41,0.48761430382728577
42,0.4870714566537312
43,0.4894666884626661
44,0.48806193258081165
45,0.4845190644264221
46,0.48156669842345373
47,0.47883812550987515
48,0.47206193315131323
