layer,p
0,0.51100004
1,0.48900002
2,0.497
3,0.499
4,0.507
5,0.505
6,0.507
7,0.49300003
8,0.497
9,0.49100003
10,0.485
11,0.47100002
12,0.47300002
13,0.47100002
14,0.47500002
15,0.483
16,0.47700003
17,0.47700003
18,0.46300003
19,0.46100003
20,0.439
21,0.43300003
22,0.45100003
23,0.47700003
24,0.47900003
25,0.51100004
26,0.47300002
27,0.4875
28,0.4665
29,0.47200003
30,0.47950003
31,0.4715
32,0.46050003
33,0.455
34,0.44700003
35,0.45100003
36,0.46500003
37,0.47100002
38,0.47550002
39,0.483
40,0.48100004
41,0.48100004
42,0.47100002
43,0.47900003
44,0.47900003
45,0.46300003
46,0.45900002
47,0.46300003
48,0.469
