layer,p
0,0.3333334
1,0.40666667
2,0.38733336
3,0.3636667
4,0.39600003
5,0.42033336
6,0.42200002
7,0.42433333
8,0.40100002
9,0.42033336
10,0.43133336
11,0.4126667
12,0.43133336
13,0.47900003
14,0.48933336
15,0.5076667
16,0.53033334
17,0.517
18,0.4966667
19,0.5243334
20,0.57000005
21,0.5363334
22,0.5373333
23,0.51500005
24,0.50233334
25,0.57566667
26,0.6103333
27,0.65666664
28,0.69433343
29,0.67700005
30,0.70566666
31,0.6963334
32,0.689
33,0.69100004
34,0.69566673
35,0.6833334
36,0.68266666
37,0.6856667
38,0.6816667
39,0.69133335
40,0.68
41,0.6886667
42,0.69733334
43,0.693
44,0.69066674
45,0.6753333
46,0.6563334
47,0.6533334
48,0.6356667
