layer,p
0,0.4065
1,0.504
2,0.5
3,0.48600003
4,0.48200002
5,0.492
6,0.49
7,0.49
8,0.47400004
9,0.48200002
10,0.508
11,0.5
12,0.48800004
13,0.49400002
14,0.508
15,0.54200006
16,0.536
17,0.53400004
18,0.51600003
19,0.49
20,0.45000002
21,0.44200003
22,0.44400004
23,0.45000002
24,0.47800002
25,0.48400003
26,0.47200003
27,0.48000002
28,0.492
29,0.51000005
30,0.522
31,0.51600003
32,0.514
33,0.514
34,0.512
35,0.512
36,0.50600004
37,0.50600004
38,0.514
39,0.51600003
40,0.514
41,0.522
42,0.522
43,0.522
44,0.532
45,0.528
46,0.53000003
47,0.532
48,0.52400005
