layer,p
0,0.3326667
1,0.37
2,0.37300003
3,0.356
4,0.3566667
5,0.35066667
6,0.35000002
7,0.342
8,0.3546667
9,0.37333336
10,0.367
11,0.36533332
12,0.35333335
13,0.36100003
14,0.37933332
15,0.37800002
16,0.34333336
17,0.35033336
18,0.33733335
19,0.33633336
20,0.37466666
21,0.36633337
22,0.37300003
23,0.37766668
24,0.38700002
25,0.4446667
26,0.425
27,0.46433336
28,0.528
29,0.5193334
30,0.526
31,0.5326667
32,0.5316667
33,0.53300005
34,0.53766674
35,0.5363334
36,0.535
37,0.5256667
38,0.52000004
39,0.5216667
40,0.5263334
41,0.52400005
42,0.5293334
43,0.528
44,0.52933335
45,0.51933336
46,0.52433336
47,0.5193334
48,0.5176667
