layer,p
0,0.34100002
1,0.33400002
2,0.32533336
3,0.3263333
4,0.32733333
5,0.326
6,0.32933336
7,0.333
8,0.32833332
9,0.33833334
10,0.34533337
11,0.34100002
12,0.3496667
13,0.3666667
14,0.36166668
15,0.34433332
16,0.347
17,0.34766668
18,0.34633332
19,0.3376667
20,0.358
21,0.3366667
22,0.30366668
23,0.27233335
24,0.2756667
25,0.30433336
26,0.31733337
27,0.305
28,0.32900003
29,0.3456667
30,0.35033336
31,0.34233335
32,0.33600003
33,0.344
34,0.337
35,0.3496667
36,0.36333334
37,0.34533334
38,0.354
39,0.35700002
40,0.3586667
41,0.35633332
42,0.33533332
43,0.35933334
44,0.36066666
45,0.351
46,0.36333337
47,0.367
48,0.37133336
