layer,p
0,0.54700005
1,0.46100003
2,0.46500003
3,0.46300003
4,0.483
5,0.49100003
6,0.50100005
7,0.513
8,0.521
9,0.517
10,0.503
11,0.517
12,0.51100004
13,0.521
14,0.51500005
15,0.549
16,0.537
17,0.535
18,0.527
19,0.541
20,0.563
21,0.55300003
22,0.549
23,0.521
24,0.509
25,0.505
26,0.49500003
27,0.50100005
28,0.49500003
29,0.47900003
30,0.48900002
31,0.48900002
32,0.497
33,0.499
34,0.513
35,0.499
36,0.47500002
37,0.45900002
38,0.46100003
39,0.453
40,0.43500003
41,0.441
42,0.42700002
43,0.42100003
44,0.41300002
45,0.37100002
46,0.36100003
47,0.38900003
48,0.36900002
