layer,p
0,0.123500004
1,0.148
2,0.18300001
3,0.17400001
4,0.18400002
5,0.16800001
6,0.179
7,0.15900001
8,0.163
9,0.155
10,0.17500001
11,0.186
12,0.164
13,0.165
14,0.186
15,0.14
16,0.15200001
17,0.15200001
18,0.15300001
19,0.171
20,0.20600002
21,0.202
22,0.22600001
23,0.245
24,0.21400002
25,0.22600001
26,0.26200002
27,0.259
28,0.25300002
29,0.245
30,0.256
31,0.246
32,0.23300001
33,0.24900001
34,0.254
35,0.256
36,0.264
37,0.24200001
38,0.24900001
39,0.25
40,0.25100002
41,0.25300002
42,0.25800002
43,0.24900001
44,0.24200001
45,0.25
46,0.24800001
47,0.24300002
48,0.24100001
