layer,p
0,0.19775
1,0.32700002
2,0.42600003
3,0.41200003
4,0.42000002
5,0.379
6,0.397
7,0.379
8,0.36400002
9,0.32900003
10,0.32700002
11,0.32000002
12,0.37100002
13,0.36400002
14,0.38200003
15,0.377
16,0.37
17,0.374
18,0.38700002
19,0.38000003
20,0.42700002
21,0.418
22,0.41300002
23,0.40500003
24,0.388
25,0.42000002
26,0.46800002
27,0.52900004
28,0.52400005
29,0.53400004
30,0.55300003
31,0.53400004
32,0.549
33,0.563
34,0.563
35,0.57900006
36,0.53800005
37,0.549
38,0.55700004
39,0.56700003
40,0.554
41,0.55200005
42,0.544
43,0.563
44,0.57000005
45,0.58100003
46,0.56200004
47,0.544
48,0.51000005
