layer,p
0,0.34526957837598665
1,0.3830905003207071
2,0.40335716413600103
3,0.4051666781306267
4,0.41591907079730717
5,0.4033809687410082
6,0.40669049322605133
7,0.4012762127178056
8,0.39630002102681566
9,0.39600955162729534
10,0.40001906135252546
11,0.3937809733407838
12,0.40185715683868956
13,0.40914287311690195
14,0.41766668962580816
15,0.4192095452121326
16,0.418019070156983
17,0.4103714493768556
18,0.40730478188821245
19,0.4090476408600807
20,0.41989526259047644
21,0.40885239626680103
22,0.3991952421409743
23,0.38942383016858784
24,0.3851952606013843
25,0.4123714438506535
26,0.41057621049029486
27,0.4368666953274182
28,0.44584050135953085
29,0.44424763321876526
30,0.4463071663464819
31,0.44197621515819
32,0.4383452609181404
33,0.4423262168254171
34,0.4408976414373943
35,0.44021907661642345
36,0.43853097621883663
37,0.43640478061778204
38,0.4377619219677789
39,0.43808572952236446
40,0.4366833567619324
41,0.4360095390251705
42,0.43539049476385117
43,0.4368476388709886
44,0.43507145770958494
45,0.4327904890690531
46,0.4265333509870938
47,0.42531430614846094
48,0.41972858778067995
