layer,p
0,0.34909951287720886
1,0.38588572825704304
2,0.4026666869010244
3,0.4072666796190398
4,0.4150762100304876
5,0.40159525722265244
6,0.404666682439191
7,0.4027143099478313
8,0.39634763981614796
9,0.3945952590022768
10,0.4006000150527273
11,0.39465239963361193
12,0.39893811515399386
13,0.4067666860563414
14,0.41600954213312696
15,0.41733335490737644
16,0.4171666939343725
17,0.4129762032202312
18,0.4080476367047855
19,0.4139047786593437
20,0.44482859543391634
21,0.4451333518539156
22,0.453819072672299
23,0.4692095454250063
24,0.4763285900865282
25,0.4989428754363741
26,0.5121762199061257
27,0.5205762173448291
28,0.5329381312642779
29,0.530502410871642
30,0.5367571754114968
31,0.5338000229426793
32,0.5339452539171491
33,0.5353524003710065
34,0.5368000226361411
35,0.5379619300365448
36,0.5388952642679214
37,0.5401000210217067
38,0.540171450802258
39,0.5434762111731938
40,0.5441952773502895
41,0.5446142958743232
42,0.5447190765823636
43,0.5480333630527768
44,0.5470762103796005
45,0.5475714653730392
46,0.5469666996172496
47,0.5461095486368451
48,0.5419238380023411
