layer,p
0,0.3376047776213714
1,0.3905476416860308
2,0.421097637287208
3,0.42595955303737093
4,0.43345716169902254
5,0.42238573517118183
6,0.42281907158238546
7,0.4107476366417749
8,0.4116428792476654
9,0.4078119269439152
10,0.4133309732590403
11,0.4086071646639279
12,0.4107452481985092
13,0.41770239387239727
14,0.4211357310414314
15,0.4242357334920338
16,0.42281430533954073
17,0.4160643124154636
18,0.43120715980018887
19,0.4175357350281307
20,0.4277976432016918
21,0.4385881136570658
22,0.4479000195860863
23,0.45443812225546154
24,0.45333810789244516
25,0.4648333564400673
26,0.47192859436784473
27,0.4704666882753372
28,0.4801833491240229
29,0.48165240245206015
30,0.4851595482655934
31,0.4810952629361834
32,0.4799833648971149
33,0.47959763556718826
34,0.47491907541240963
35,0.48416668815272196
36,0.4882404995816095
37,0.4896785957472665
38,0.4927643101130213
39,0.49799049539225443
40,0.49734288454055786
41,0.4970428858484541
42,0.5010905031647
43,0.4984905017273767
44,0.5023619340998786
45,0.5021262147596904
46,0.4991428777575493
47,0.49671668985060285
48,0.4896214561803
