layer,p
0,0.51350003
1,0.48900002
2,0.483
3,0.48100004
4,0.48100004
5,0.47900003
6,0.47100002
7,0.47300002
8,0.47700003
9,0.47500002
10,0.467
11,0.47700003
12,0.47300002
13,0.45700002
14,0.47700003
15,0.46500003
16,0.46500003
17,0.45700002
18,0.45900002
19,0.45900002
20,0.441
21,0.441
22,0.44700003
23,0.44900003
24,0.47300002
25,0.485
26,0.455
27,0.47900003
28,0.4715
29,0.46500003
30,0.46550003
31,0.45600003
32,0.43850002
33,0.44050002
34,0.44050002
35,0.441
36,0.4415
37,0.453
38,0.44900003
39,0.44700003
40,0.44050002
41,0.439
42,0.44300002
43,0.44500002
44,0.44900003
45,0.44300002
46,0.44300002
47,0.44900003
48,0.441
