layer,p
0,0.51350003
1,0.499
2,0.48900002
3,0.483
4,0.485
5,0.47700003
6,0.47500002
7,0.47500002
8,0.47100002
9,0.47100002
10,0.47300002
11,0.469
12,0.46300003
13,0.455
14,0.469
15,0.467
16,0.467
17,0.45900002
18,0.45100003
19,0.455
20,0.44900003
21,0.453
22,0.44900003
23,0.49500003
24,0.523
25,0.523
26,0.523
27,0.54700005
28,0.53300005
29,0.54450005
30,0.54
31,0.54
32,0.5205
33,0.527
34,0.521
35,0.523
36,0.535
37,0.541
38,0.545
39,0.551
40,0.54700005
41,0.555
42,0.549
43,0.55700004
44,0.555
45,0.535
46,0.537
47,0.537
48,0.527
