layer,p
0,0.467
1,0.51100004
2,0.46300003
3,0.517
4,0.51500005
5,0.509
6,0.51100004
7,0.48700002
8,0.51100004
9,0.535
10,0.5325
11,0.53300005
12,0.509
13,0.507
14,0.527
15,0.55700004
16,0.5665
17,0.51500005
18,0.549
19,0.5245
20,0.49500003
21,0.505
22,0.51900005
23,0.52900004
24,0.53900003
25,0.55300003
26,0.53550005
27,0.523
28,0.537
29,0.531
30,0.52900004
31,0.513
32,0.5005
33,0.497
34,0.48900002
35,0.509
36,0.51750004
37,0.51900005
38,0.52500004
39,0.527
40,0.51900005
41,0.507
42,0.521
43,0.51500005
44,0.51500005
45,0.5
46,0.517
47,0.503
48,0.505
