layer,p
0,0.42350003
1,0.52900004
2,0.51900005
3,0.50100005
4,0.51500005
5,0.49500003
6,0.48900002
7,0.505
8,0.47100002
9,0.485
10,0.48900002
11,0.49500003
12,0.48900002
13,0.51100004
14,0.507
15,0.549
16,0.531
17,0.531
18,0.521
19,0.513
20,0.48700002
21,0.46500003
22,0.469
23,0.467
24,0.49300003
25,0.47700003
26,0.483
27,0.485
28,0.503
29,0.497
30,0.51900005
31,0.523
32,0.523
33,0.523
34,0.52500004
35,0.52500004
36,0.52500004
37,0.517
38,0.527
39,0.521
40,0.527
41,0.52900004
42,0.53300005
43,0.537
44,0.53300005
45,0.531
46,0.527
47,0.523
48,0.51900005
