layer,p
0,0.42350003
1,0.52900004
2,0.51500005
3,0.513
4,0.513
5,0.499
6,0.48900002
7,0.51100004
8,0.469
9,0.47900003
10,0.49100003
11,0.49300003
12,0.485
13,0.50100005
14,0.51900005
15,0.53900003
16,0.52900004
17,0.527
18,0.50100005
19,0.48100004
20,0.453
21,0.45700002
22,0.46500003
23,0.467
24,0.509
25,0.51100004
26,0.503
27,0.50100005
28,0.521
29,0.51900005
30,0.54300004
31,0.537
32,0.541
33,0.537
34,0.53900003
35,0.54300004
36,0.535
37,0.53300005
38,0.531
39,0.53900003
40,0.535
41,0.537
42,0.53300005
43,0.541
44,0.53900003
45,0.53300005
46,0.535
47,0.545
48,0.537
