layer,p
0,0.4135
1,0.49350002
2,0.507
3,0.49350002
4,0.47300002
5,0.49100003
6,0.48700002
7,0.44700003
8,0.43500003
9,0.446
10,0.47700003
11,0.51100004
12,0.48250002
13,0.5345
14,0.5055
15,0.49350002
16,0.513
17,0.51900005
18,0.5205
19,0.49350002
20,0.48100004
21,0.48900002
22,0.513
23,0.505
24,0.505
25,0.47500002
26,0.45700002
27,0.50200003
28,0.5095
29,0.50100005
30,0.503
31,0.51600003
32,0.53050005
33,0.51250005
34,0.5095
35,0.48100004
36,0.499
37,0.485
38,0.497
39,0.5065
40,0.5
41,0.49400002
42,0.51100004
43,0.5065
44,0.518
45,0.53050005
46,0.509
47,0.50450003
48,0.49250004
