layer,p
0,0.33733332
1,0.33900002
2,0.36133334
3,0.324
4,0.35300002
5,0.35333335
6,0.37
7,0.3366667
8,0.347
9,0.34933332
10,0.3406667
11,0.32133332
12,0.32133332
13,0.33400002
14,0.33933336
15,0.34500003
16,0.33100003
17,0.33866668
18,0.33033332
19,0.3246667
20,0.3656667
21,0.36266667
22,0.36633334
23,0.38033333
24,0.36900002
25,0.44133335
26,0.41466668
27,0.45666668
28,0.5153334
29,0.50733334
30,0.51000005
31,0.5273334
32,0.5183334
33,0.52833337
34,0.52866673
35,0.5233334
36,0.5273334
37,0.52466667
38,0.51133335
39,0.513
40,0.5133334
41,0.51233333
42,0.51466674
43,0.514
44,0.5176667
45,0.5213334
46,0.521
47,0.514
48,0.51933336
