layer,p
0,0.3506667
1,0.356
2,0.35033336
3,0.32133332
4,0.3446667
5,0.34600002
6,0.34500003
7,0.34100002
8,0.3386667
9,0.35000002
10,0.33033335
11,0.32033333
12,0.31533337
13,0.326
14,0.33600003
15,0.347
16,0.33233336
17,0.33033335
18,0.32066667
19,0.33933336
20,0.37833336
21,0.38633338
22,0.40133336
23,0.41366667
24,0.42900002
25,0.49933332
26,0.49800003
27,0.5413333
28,0.5993334
29,0.591
30,0.59000003
31,0.59566665
32,0.5943334
33,0.5986667
34,0.59933335
35,0.59666663
36,0.5886667
37,0.5836667
38,0.58033335
39,0.57933336
40,0.58366674
41,0.58266664
42,0.58900005
43,0.58633333
44,0.58533335
45,0.5783334
46,0.57666665
47,0.5766667
48,0.5753334
