layer,p
0,0.30933335
1,0.34033337
2,0.33933336
3,0.33533332
4,0.33833337
5,0.34633332
6,0.356
7,0.35333332
8,0.34133336
9,0.3526667
10,0.35633332
11,0.35566667
12,0.36533335
13,0.37233332
14,0.37500003
15,0.35300002
16,0.33900002
17,0.34666666
18,0.344
19,0.3246667
20,0.32133335
21,0.289
22,0.24466667
23,0.21733333
24,0.20633335
25,0.231
26,0.23566668
27,0.21566668
28,0.23533334
29,0.24499999
30,0.25
31,0.24700001
32,0.24433334
33,0.24233334
34,0.23300001
35,0.23933336
36,0.25
37,0.24200001
38,0.23433335
39,0.24533334
40,0.24366668
41,0.24633335
42,0.23833334
43,0.24933335
44,0.25133336
45,0.24766667
46,0.25133333
47,0.257
48,0.259
