layer,p
0,0.31
1,0.33233336
2,0.33600003
3,0.342
4,0.33933336
5,0.34366667
6,0.35000002
7,0.35033333
8,0.3386667
9,0.34633335
10,0.35233337
11,0.35133332
12,0.36533335
13,0.38000003
14,0.37133336
15,0.34933335
16,0.3396667
17,0.35433334
18,0.3476667
19,0.3526667
20,0.3766667
21,0.37733337
22,0.3576667
23,0.36633337
24,0.37733337
25,0.39733332
26,0.38866672
27,0.3616667
28,0.39333338
29,0.39733332
30,0.40333334
31,0.39366668
32,0.37933332
33,0.377
34,0.38666672
35,0.39333338
36,0.41300002
37,0.4136667
38,0.4146667
39,0.41700003
40,0.42833337
41,0.43033338
42,0.41633335
43,0.43433332
44,0.43633336
45,0.42900002
46,0.43500003
47,0.4316667
48,0.432
