layer,p
0,0.29833335
1,0.3496667
2,0.34
3,0.34100002
4,0.32333335
5,0.34933332
6,0.34833336
7,0.351
8,0.347
9,0.37333333
10,0.37766668
11,0.36100003
12,0.39233333
13,0.40800002
14,0.43333337
15,0.40800002
16,0.38266668
17,0.39433336
18,0.40433335
19,0.35500002
20,0.46500003
21,0.45533335
22,0.44566667
23,0.42566672
24,0.48133335
25,0.52133334
26,0.5226667
27,0.3976667
28,0.40466666
29,0.42433336
30,0.43500003
31,0.40033337
32,0.40800002
33,0.40233335
34,0.38766667
35,0.41200003
36,0.41666672
37,0.41666672
38,0.40633336
39,0.40500003
40,0.40033337
41,0.39800003
42,0.37533337
43,0.38000003
44,0.386
45,0.377
46,0.3656667
47,0.35133332
48,0.36233336
