layer,p
0,0.46050003
1,0.48200002
2,0.46400002
3,0.46400002
4,0.46
5,0.44400004
6,0.462
7,0.48000002
8,0.49400002
9,0.49400002
10,0.48200002
11,0.48200002
12,0.49400002
13,0.5
14,0.492
15,0.476
16,0.48600003
17,0.462
18,0.49400002
19,0.50200003
20,0.47200003
21,0.492
22,0.508
23,0.508
24,0.462
25,0.43400002
26,0.42200002
27,0.43800002
28,0.46600002
29,0.45600003
30,0.44200003
31,0.43800002
32,0.42800003
33,0.47800002
34,0.462
35,0.45600003
36,0.42600003
37,0.43600002
38,0.45800003
39,0.45600003
40,0.45200002
41,0.432
42,0.43400002
43,0.43400002
44,0.44200003
45,0.42200002
46,0.42200002
47,0.418
48,0.42000002
