layer,p
0,0.48083338
1,0.53160006
2,0.5346667
3,0.5513333
4,0.5505333
5,0.5453333
6,0.5413334
7,0.5325334
8,0.5305334
9,0.5348001
10,0.5509333
11,0.54560006
12,0.54533327
13,0.5566667
14,0.57333344
15,0.5756
16,0.5802667
17,0.5712
18,0.57760006
19,0.596
20,0.6385334
21,0.59226674
22,0.6070666
23,0.5669334
24,0.58306676
25,0.6405333
26,0.60706675
27,0.6308001
28,0.64426666
29,0.63879997
30,0.6441334
31,0.6413334
32,0.63666666
33,0.6330667
34,0.6330667
35,0.6390667
36,0.6369333
37,0.6346667
38,0.628
39,0.6265334
40,0.6304
41,0.6261333
42,0.6234666
43,0.6258667
44,0.6273334
45,0.62506664
46,0.6208
47,0.6190668
48,0.6212
