layer,p
0,0.11533333
1,0.13100001
2,0.177
3,0.172
4,0.179
5,0.19500001
6,0.18300001
7,0.157
8,0.155
9,0.158
10,0.17300001
11,0.16900001
12,0.165
13,0.17500001
14,0.18
15,0.14600001
16,0.15
17,0.15300001
18,0.155
19,0.17600001
20,0.17600001
21,0.164
22,0.16100001
23,0.15400001
24,0.143
25,0.15200001
26,0.155
27,0.17400001
28,0.177
29,0.17600001
30,0.177
31,0.18200001
32,0.162
33,0.18900001
34,0.185
35,0.18900001
36,0.19000001
37,0.177
38,0.17600001
39,0.177
40,0.18200001
41,0.18100001
42,0.18100001
43,0.18300001
44,0.18400002
45,0.17500001
46,0.17
47,0.163
48,0.16600001
