layer,p
0,0.12666667
1,0.147
2,0.18300001
3,0.16900001
4,0.186
5,0.18200001
6,0.18300001
7,0.17400001
8,0.17
9,0.15200001
10,0.179
11,0.171
12,0.156
13,0.17300001
14,0.186
15,0.149
16,0.15900001
17,0.17
18,0.193
19,0.21900001
20,0.26000002
21,0.264
22,0.296
23,0.319
24,0.31100002
25,0.30400002
26,0.349
27,0.33600003
28,0.34
29,0.33400002
30,0.33900002
31,0.33200002
32,0.342
33,0.335
34,0.34800002
35,0.33400002
36,0.34500003
37,0.337
38,0.35000002
39,0.35000002
40,0.36100003
41,0.36200002
42,0.374
43,0.36800003
44,0.36400002
45,0.37
46,0.365
47,0.372
48,0.37100002
