layer,p
0,0.18100001
1,0.125
2,0.156
3,0.162
4,0.15900001
5,0.15400001
6,0.13800001
7,0.126
8,0.13800001
9,0.113000005
10,0.14
11,0.16100001
12,0.162
13,0.17400001
14,0.157
15,0.136
16,0.13100001
17,0.13700001
18,0.14
19,0.14400001
20,0.15400001
21,0.14600001
22,0.14500001
23,0.19800001
24,0.18200001
25,0.19700001
26,0.19600001
27,0.22800002
28,0.23400001
29,0.25500003
30,0.26500002
31,0.25033334
32,0.23600002
33,0.24300002
34,0.23900001
35,0.27
36,0.2726667
37,0.25
38,0.23900001
39,0.2515
40,0.25100002
41,0.24000001
42,0.25300002
43,0.231
44,0.22600001
45,0.22800002
46,0.21100001
47,0.21300001
48,0.201
