layer,p
0,0.3333334
1,0.34233335
2,0.35933334
3,0.37733334
4,0.41000003
5,0.37033334
6,0.38733336
7,0.43500003
8,0.38133332
9,0.38133332
10,0.33533335
11,0.36633337
12,0.3976667
13,0.38533333
14,0.38300002
15,0.45566672
16,0.47500002
17,0.48733336
18,0.5423334
19,0.5513334
20,0.63433343
21,0.6053333
22,0.5163334
23,0.43533334
24,0.324
25,0.33133334
26,0.24933335
27,0.46033335
28,0.46600002
29,0.49100003
30,0.50233334
31,0.5026667
32,0.5693334
33,0.64933336
34,0.6326667
35,0.592
36,0.5286667
37,0.5306667
38,0.54366666
39,0.58433336
40,0.59666663
41,0.48633337
42,0.49633333
43,0.44300002
44,0.43600002
45,0.40933332
46,0.35633332
47,0.31966668
48,0.15566666
