layer,p
0,0.2506666
1,0.36400002
2,0.49233332
3,0.5396667
4,0.5646667
5,0.50566673
6,0.4796667
7,0.55300003
8,0.3596667
9,0.41833335
10,0.3596667
11,0.33200002
12,0.29200003
13,0.34266672
14,0.28766668
15,0.5403334
16,0.46366668
17,0.476
18,0.62200004
19,0.592
20,0.69433343
21,0.6543334
22,0.60700005
23,0.6053333
24,0.50600004
25,0.49733338
26,0.522
27,0.8053333
28,0.874
29,0.86433333
30,0.90200007
31,0.8743334
32,0.9806667
33,0.984
34,0.9806667
35,0.97866666
36,0.9710001
37,0.96700007
38,0.96500003
39,0.96566665
40,0.9493334
41,0.94966674
42,0.94500005
43,0.94200003
44,0.934
45,0.9286667
46,0.9233334
47,0.87833333
48,0.73
