layer,p
0,0.8789381469999041
1,0.9750571889536721
2,0.9371905369418008
3,0.9416667137827192
4,0.9142809978553227
5,0.9431667115007129
6,0.9353095548493522
7,0.9446381373064858
8,0.9481381390775953
9,0.9529572001525334
10,0.9486524249826159
11,0.9643428836550031
12,0.9531667062214443
13,0.9396190856184278
14,0.9256667154175895
15,0.932342895439693
16,0.9424619461808886
17,0.9597571662494114
18,0.9722000403063638
19,0.9535714643342155
20,1.0186381467751093
21,1.0686048056398119
22,1.1368476493018014
23,1.2147238850593567
24,1.2284905357020242
25,1.150352452482496
26,1.2088476972920554
27,1.1136714688369207
28,1.0932476605687822
29,1.0961714684963226
30,1.0747667253017426
31,1.0936667237962996
32,1.1123333743640356
33,1.0936334047998701
34,1.0978476405143738
35,1.0911333858966827
36,1.1106524424893516
37,1.1067619323730469
38,1.109285750559398
39,1.1099952970232283
40,1.1107286129679
41,1.1234810096876962
42,1.1271476575306483
43,1.1301619751112801
44,1.1311667135783605
45,1.1389191235814775
46,1.154242924281529
47,1.142061940261296
48,1.1576857609408242
