layer,p
0,0.9040810082639966
1,0.9691810097013202
2,0.9405238500663212
3,0.9254905198301587
4,0.915942907333374
5,0.9462857501847404
6,0.941404823746
7,0.9479048039231982
8,0.9493286141327449
9,0.9539762352194104
10,0.9379667213984898
11,0.9423619423593793
12,0.956957186971392
13,0.9495619492871421
14,0.9261476567813328
15,0.9381191006728581
16,0.9292143327849252
17,0.9376191071101597
18,0.9442619681358337
19,0.9318571857043675
20,0.8872476603303637
21,0.9047095775604248
22,0.8775762149265834
23,0.8577476612159184
24,0.8556048018591744
25,0.8200428996767316
26,0.8063381399427142
27,0.78744290130479
28,0.7648857512644359
29,0.7710905160222735
30,0.761985753263746
31,0.770614315356527
32,0.7679667153528759
33,0.7702476573841912
34,0.7629714523042951
35,0.7658857511622565
36,0.7598762192896434
37,0.7588476496083396
38,0.7552762180566788
39,0.7521428827728543
40,0.7486809832709176
41,0.7484857461282185
42,0.7447285950183868
43,0.739433371594974
44,0.7450381283249173
45,0.7470952719449997
46,0.7506143195288522
47,0.7538524248770305
48,0.7547476547104972
