layer,p
0,0.9717095962592533
1,0.9736428941999163
2,0.9284714715821403
3,0.9059857385499137
4,0.9033476540020534
5,0.9348000458308628
6,0.9235762400286538
7,0.9529333625520978
8,0.9645000313009534
9,0.9499476722308567
10,0.934266711984362
11,0.9400714763573238
12,0.9429857901164463
13,0.9379762411117554
14,0.9344428862844195
15,0.9218143267290932
16,0.9165381235735757
17,0.9308000419821058
18,0.9087047960077014
19,0.933714325938906
20,0.9196429039750781
21,0.8926095536776951
22,0.883200045142855
23,0.8722666885171618
24,0.8731571861675808
25,0.8614286056586674
26,0.8500476479530334
27,0.8570428916386196
28,0.8433476729052407
29,0.8487905051027026
30,0.8458000336374555
31,0.8476905056408474
32,0.8417714749063764
33,0.854233375617436
34,0.8512095553534371
35,0.8385714718273708
36,0.836876209293093
37,0.8362143337726593
38,0.8370428894247327
39,0.8234238496848515
40,0.8194571605750492
41,0.8253905262265887
42,0.8217476499932153
43,0.8225190809794835
44,0.8169666869299752
45,0.8166048015866961
46,0.8229048039231982
47,0.824090519121715
48,0.8394952863454819
