layer,p
0,0.3700285873242787
1,0.378314310418708
2,0.3763143037046705
3,0.3797809715781893
4,0.3796904959848949
5,0.38329049412693295
6,0.3736571616360119
7,0.3718523989830698
8,0.3801619293434279
9,0.37387145310640335
10,0.3728047768984522
11,0.37596192210912704
12,0.3813238303576197
13,0.37245716207793783
14,0.3780095460159438
15,0.38339049369096756
16,0.3851904959550926
17,0.3833571560680866
18,0.3842476393495287
19,0.38499049256954876
20,0.3825714449797358
21,0.3777571629200663
22,0.3705714462058885
23,0.3671714354838644
24,0.3662428722849914
25,0.3749904930591583
26,0.37618097024304525
27,0.3967952621834619
28,0.40804763989789145
29,0.39880954367773874
30,0.4042190622006144
31,0.41324287333658766
32,0.4151762106588909
33,0.4128666913935116
34,0.4146285855344364
35,0.41579526024205343
36,0.40958097257784437
37,0.4095000284058707
38,0.41358097216912676
39,0.4145809699382101
40,0.4173333581004824
41,0.41870478434222086
42,0.4131809707198824
43,0.41276192558663233
44,0.409685737320355
45,0.4127857376422201
46,0.3962428718805313
47,0.3998809701630047
48,0.39451430418661665
