layer,p
0,0.3704571585570063
1,0.37786668645484106
2,0.3762095421552658
3,0.37950001657009125
4,0.3812619245478085
5,0.3841714465192386
6,0.37386192700692583
7,0.37153335234948565
8,0.3803285924451692
9,0.3749000185302326
10,0.3731381105525153
11,0.3764238272394453
12,0.38060002348252703
13,0.37179525941610336
14,0.3794952572456428
15,0.38399049799357143
16,0.38596668892673086
17,0.3850619202213628
18,0.3866143061646393
19,0.3879047834447452
20,0.3905619223202978
21,0.3982809728809765
22,0.39771430087941034
23,0.395380970622812
24,0.38851906678506304
25,0.39842382286276135
26,0.4128857318844114
27,0.44922382810286116
28,0.47343812244279043
29,0.4694476361785616
30,0.47923335220132557
31,0.4741666849170412
32,0.48305716684886385
33,0.48385240350450787
34,0.4901333578995296
35,0.48807145229407717
36,0.4794238380023411
37,0.47869049651282175
38,0.47903812144483837
39,0.485657162964344
40,0.48464288456099375
41,0.4888238332101277
42,0.4864714486258371
43,0.4920285940170288
44,0.49793336008276257
45,0.509004784481866
46,0.5086238362959453
47,0.5068285912275314
48,0.498385740177972
