layer,p
0,0.3588524003114019
1,0.36615716027362005
2,0.37780478756342617
3,0.381195249834231
4,0.37960953478302273
5,0.38732858800462316
6,0.39593335187860895
7,0.3812428776706968
8,0.3773476353713444
9,0.37907620519399643
10,0.37704287469387054
11,0.37514763325452805
12,0.3793904962284224
13,0.3802476365651403
14,0.3835762068629265
15,0.3887238268341337
16,0.3918714480740683
17,0.3875095413199493
18,0.38260478153824806
19,0.37741430529526304
20,0.38480001741221975
21,0.38199525965111597
22,0.387614301272801
23,0.39137621223926544
24,0.3853809727089746
25,0.39327144835676464
26,0.4051571690610477
27,0.4065381096942084
28,0.41762382643563406
29,0.412523838026183
30,0.41221906670502256
31,0.4187809761081423
32,0.40665240585803986
33,0.40710477637393133
34,0.41358573521886555
35,0.42251906437533243
36,0.4237524036850248
37,0.4281523994037083
38,0.43010002800396513
39,0.4282190799713135
40,0.4311571589538029
41,0.43545239738055636
42,0.43353335559368134
43,0.43388097626822336
44,0.4336047832454954
45,0.4353428781032562
46,0.43876668172223227
47,0.43987621686288286
48,0.43761430361441206
