layer,p
0,4.868350248875732e-19
1,0.0014129714753445505
2,0.0013754767902095669
3,0.0012617887072597764
4,0.001343580377579201
5,0.0011925633807550184
6,0.0015251334490520613
7,0.002210508166172076
8,0.002443482168018818
9,0.002125169386480203
10,0.0017355421098597748
11,0.0026857049233512953
12,0.0023270206085206674
13,0.0024388170495512895
14,0.004677550382829005
15,0.0068947525370666495
16,0.008257883894007787
17,0.016756234545027837
18,0.06143470338429324
19,0.04722129165643959
20,0.04038753937597254
21,0.12059182571205643
22,0.17427054880161968
23,0.19868237970305408
24,0.2659687899410658
25,0.28197351009917576
26,0.32247607922597255
27,0.42744284303626046
28,0.5002121479150706
29,0.6035777616946559
30,0.6640835628578705
31,0.7130902844614216
32,0.7488190631515214
33,0.7780357162867274
34,0.8083620241710118
35,0.8494967722467014
36,0.8748281725815364
37,0.8966187558003834
38,0.9166441942964282
39,0.9228654078074864
40,0.9303486432347979
41,0.9401149579456874
42,0.9474690897124154
43,0.9470553525856563
44,0.9561989264828819
45,0.9474922801767077
46,0.9191553252083915
47,0.8896280186516898
48,0.9893699032919747
