layer,p
0,4.866655710306588e-19
1,0.0014124070543662778
2,0.0013752941106629027
3,0.0012618436147542006
4,0.0013448749585742398
5,0.0011941253251279704
6,0.0015271180226201458
7,0.0022126944199304228
8,0.0024465983858265516
9,0.0021275790703449665
10,0.0017372536489606968
11,0.002689851500950421
12,0.002326838647214962
13,0.0024366841140103395
14,0.004681380634013165
15,0.006898145733949994
16,0.008267538019156615
17,0.016762562229165008
18,0.061102918740029315
19,0.04707353076290539
20,0.040429594275857586
21,0.1201588469786137
22,0.17443839658725274
23,0.19982929290771217
24,0.2698284104990307
25,0.2854391508569409
26,0.32549328687933404
27,0.4278020357513534
28,0.49867637699935585
29,0.6027645646993604
30,0.658627423690632
31,0.709542072444622
32,0.7478920970378178
33,0.7717235761561564
34,0.8005020096898079
35,0.8282472278390612
36,0.8541801507983889
37,0.8784390666655132
38,0.9002206751278469
39,0.9059050530195236
40,0.9149859249591827
41,0.9257150271109172
42,0.9353827514818737
43,0.9352403495992933
44,0.940912236060415
45,0.9349162940468106
46,0.9074875435658863
47,0.876283294388226
48,0.972884829555239
